CustomerID,tenure,Contract,MonthlyCharges,TotalCharges,SeniorCitizen,Partner,Dependents,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,PaymentMethod,SatisfactionScore,SupportCallsLast6Months,Data_Usage_Drop_Rate,Call_Drop_Rate,Slow_Speed_Days,Unresolved_Complaints,Churn
CUST1001,4,Two year,105.9,378.74,0,No,No,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,No,Mailed check,3,3,0.4,0.127,2,0,1
CUST1002,49,Month-to-month,85.92,3770.46,0,No,No,Yes,No,Fiber optic,No,No,No,No,No,No,No,Bank transfer,2,0,0.5,0.011,17,0,1
CUST1003,46,Month-to-month,39.25,1632.15,0,No,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Bank transfer,5,2,0.09,0.013,0,0,0
CUST1004,35,Month-to-month,94.95,2916.7,0,No,No,Yes,Yes,DSL,Yes,No,No,No,No,No,Yes,Bank transfer,3,3,0.79,0.006,1,2,1
CUST1005,50,One year,40.74,1840.15,0,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Credit card,3,0,0.17,0.018,5,0,0
CUST1006,23,Two year,94.71,2203.06,0,No,Yes,Yes,Yes,DSL,No,No,No,No,No,Yes,Yes,Bank transfer,2,0,0.66,0.003,21,0,0
CUST1007,69,Month-to-month,82.99,5384.43,0,Yes,No,Yes,No,DSL,No,No,No,No,No,No,Yes,Credit card,2,0,0.41,0.022,24,0,0
CUST1008,30,Month-to-month,83.62,2344.83,1,Yes,No,Yes,Yes,DSL,No,No,No,No,No,Yes,Yes,Bank transfer,3,2,0.26,0.039,0,0,1
CUST1009,44,Month-to-month,94.38,4299.2,0,Yes,No,Yes,Yes,DSL,No,No,No,No,Yes,No,No,Mailed check,4,0,0.19,0.009,3,0,1
CUST1010,50,One year,96.68,4595.06,0,No,No,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Yes,Bank transfer,4,0,0.37,0.007,4,0,0
CUST1011,31,One year,74.14,2380.63,0,Yes,Yes,Yes,No,DSL,No,Yes,No,No,Yes,Yes,No,Mailed check,5,0,0.24,0.023,0,0,0
CUST1012,45,Month-to-month,70.29,3251.43,0,Yes,No,Yes,No,DSL,No,No,No,No,No,Yes,No,Bank transfer,4,0,0.11,0.008,2,0,0
CUST1013,34,Two year,95.19,2799.7,0,No,Yes,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No,Yes,Bank transfer,4,4,0.65,0.114,1,1,0
CUST1014,6,One year,68.59,425.9,0,Yes,No,Yes,No,DSL,No,No,Yes,Yes,No,Yes,Yes,Mailed check,4,1,0.26,0.029,1,0,1
CUST1015,14,One year,77.83,1013.28,0,No,No,Yes,No,DSL,Yes,Yes,Yes,No,No,No,Yes,Credit card,5,1,0.37,0.005,2,0,0
CUST1016,14,Two year,109.84,1513.35,0,Yes,No,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,No,Bank transfer,3,0,0.26,0.013,0,0,0
CUST1017,39,Two year,89.2,3503.68,0,No,No,Yes,No,Fiber optic,No,No,Yes,No,No,No,Yes,Credit card,3,1,0.17,0.106,5,0,0
CUST1018,43,Month-to-month,69.88,2948.38,0,Yes,Yes,Yes,No,DSL,No,Yes,No,No,Yes,No,Yes,Bank transfer,1,3,0.75,0.004,19,0,1
CUST1019,67,One year,83.14,5231.6,0,Yes,Yes,Yes,No,DSL,No,Yes,No,No,No,No,Yes,Mailed check,2,3,0.6,0.03,14,3,1
CUST1020,37,Month-to-month,103.1,3688.11,0,No,Yes,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Yes,Bank transfer,4,3,0.74,0.0,2,0,1
CUST1021,54,Two year,44.48,2445.4,0,Yes,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Mailed check,5,5,0.64,0.036,4,1,0
CUST1022,24,Month-to-month,99.48,2062.16,0,Yes,No,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,No,Credit card,5,0,0.01,0.034,4,0,1
CUST1023,17,One year,54.96,815.57,0,Yes,No,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Electronic check,4,5,0.45,0.001,2,2,1
CUST1024,32,Month-to-month,21.94,656.92,0,No,Yes,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Bank transfer,3,1,0.13,0.034,3,0,1
CUST1025,47,Two year,86.73,4183.62,0,No,No,Yes,No,Fiber optic,No,No,No,No,Yes,No,No,Mailed check,2,1,0.67,0.001,16,0,0
CUST1026,44,One year,44.81,1863.63,0,No,Yes,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Bank transfer,4,1,0.01,0.012,3,0,0
CUST1027,40,Two year,45.42,1635.63,0,No,No,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Bank transfer,2,0,0.45,0.021,11,0,0
CUST1028,68,Two year,87.05,5046.01,0,Yes,No,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No,No,Electronic check,2,1,0.55,0.078,21,0,1
CUST1029,9,One year,92.61,859.91,0,No,Yes,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,No,Electronic check,2,2,0.59,0.002,9,0,1
CUST1030,11,Month-to-month,80.82,860.53,0,Yes,No,Yes,No,DSL,Yes,Yes,Yes,No,Yes,Yes,Yes,Mailed check,4,0,0.04,0.009,1,0,0
CUST1031,19,Month-to-month,61.96,1210.07,0,No,No,No,No phone service,DSL,No,No,Yes,No,Yes,No,Yes,Mailed check,4,2,0.01,0.009,5,0,0
CUST1032,35,Two year,71.6,2477.77,0,No,No,Yes,No,DSL,No,No,Yes,No,Yes,No,No,Mailed check,2,4,0.77,0.022,20,0,1
CUST1033,15,One year,52.51,789.22,0,No,No,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Electronic check,2,1,0.82,0.018,21,0,1
CUST1034,31,Two year,55.47,1748.71,0,No,Yes,No,No phone service,DSL,No,No,Yes,No,No,No,Yes,Bank transfer,5,0,0.21,0.015,4,0,0
CUST1035,18,Month-to-month,100.26,1670.13,0,No,Yes,Yes,No,Fiber optic,No,No,No,No,No,No,Yes,Credit card,5,3,0.84,0.015,3,0,0
CUST1036,50,Two year,38.81,1853.55,0,Yes,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Mailed check,3,2,0.16,0.026,1,0,0
CUST1037,34,One year,54.37,1852.06,0,No,No,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Credit card,4,0,0.03,0.025,2,0,0
CUST1038,13,Two year,37.5,428.57,0,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Electronic check,3,2,0.31,0.007,0,0,0
CUST1039,49,Two year,47.98,2217.13,0,No,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Mailed check,2,1,0.43,0.038,24,0,0
CUST1040,59,One year,94.47,5752.78,0,Yes,No,Yes,Yes,DSL,No,Yes,No,No,Yes,No,No,Credit card,4,3,0.81,0.031,1,2,1
CUST1041,25,Two year,95.79,2500.83,0,No,No,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Yes,Mailed check,3,4,0.77,0.033,3,2,1
CUST1042,10,Month-to-month,77.17,692.03,0,No,No,Yes,Yes,DSL,No,No,No,No,No,No,No,Credit card,1,4,0.65,0.037,13,3,1
CUST1043,39,Two year,109.85,3773.93,1,No,No,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Yes,Electronic check,3,0,0.19,0.038,0,0,0
CUST1044,31,One year,90.74,2528.03,0,No,No,Yes,Yes,DSL,Yes,No,No,No,No,No,Yes,Bank transfer,2,2,0.43,0.031,12,0,1
CUST1045,30,One year,70.31,1846.38,0,No,No,Yes,No,DSL,Yes,No,Yes,No,No,No,Yes,Electronic check,3,0,0.02,0.018,2,0,0
CUST1046,6,Two year,49.81,308.41,0,No,Yes,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Bank transfer,1,0,0.67,0.003,14,0,0
CUST1047,71,Two year,99.57,6488.26,0,No,No,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Yes,Credit card,3,1,0.04,0.027,2,0,0
CUST1048,12,Month-to-month,79.42,994.67,1,No,No,Yes,No,DSL,No,Yes,Yes,No,No,No,No,Credit card,3,1,0.23,0.009,5,0,1
